Comment,Designator,Footprint,LCSC,Quantity
9024 Passive Buzzer,LS1,MagneticBuzzer_PUI_AT-0927-TT-6-R,,1
STC8G1K08A-36I-DIP8,U1,DIP-8_W7.62mm_LongPads,,1
SW_Push_45deg,SW1,SW_PUSH-12mm,,1
120,R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,1
120,R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,1
120,R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,1
120,R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,1
120,R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,1
2N2222,Q1,TO-18-3,,1
LED,D12,LED_D5.0mm,,1
LED,D11,LED_D5.0mm,,1
LED,D10,LED_D5.0mm,,1
LED,D9,LED_D5.0mm,,1
LED,D8,LED_D5.0mm,,1
LED,D7,LED_D5.0mm,,1
LED,D6,LED_D5.0mm,,1
LED,D5,LED_D5.0mm,,1
LED,D4,LED_D5.0mm,,1
LED,D3,LED_D5.0mm,,1
LED,D2,LED_D5.0mm,,1
LED,D1,LED_D5.0mm,,1
Battery_Cell,BT1,CR2032-THT-retainer,,1
POWER,SW2,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,,1
0.1u,C1,C_Disc_D3.0mm_W1.6mm_P2.50mm,,1
