Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,CR2032-THT-retainer,116.517073,-145.866552,90.0,top
C1,0.1u,C_Disc_D3.0mm_W1.6mm_P2.50mm,148.576138,-142.211958,180.0,top
D1,LED,LED_D5.0mm,107.95,-97.79,180.0,top
D10,LED,LED_D5.0mm,148.59,-96.52,0.0,top
D11,LED,LED_D5.0mm,148.59,-121.92,180.0,top
D12,LED,LED_D5.0mm,139.7,-109.22,0.0,top
D2,LED,LED_D5.0mm,119.377045,-109.181123,0.0,top
D3,LED,LED_D5.0mm,171.423385,-97.762112,180.0,top
D4,LED,LED_D5.0mm,160.001259,-109.201259,0.0,top
D5,LED,LED_D5.0mm,154.283806,-157.475281,90.0,top
D6,LED,LED_D5.0mm,145.393806,-157.475281,-90.0,top
D7,LED,LED_D5.0mm,130.81,-96.52,180.0,top
D8,LED,LED_D5.0mm,130.81,-121.92,0.0,top
D9,LED,LED_D5.0mm,163.173806,-157.475281,90.0,top
LS1,9024 Passive Buzzer,MagneticBuzzer_PUI_AT-0927-TT-6-R,139.705,-83.82,180.0,top
Q1,2N2222,TO-18-3,152.968579,-83.609645,-90.0,top
R1,120,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,162.557579,-134.595159,90.0,top
R2,120,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,134.625,-134.62,90.0,top
R3,120,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,139.705,-134.62,90.0,top
R4,120,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,157.477579,-134.595159,90.0,top
R5,120,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,126.933579,-83.709645,-90.0,top
SW1,SW_Push_45deg,SW_PUSH-12mm,175.36,-138.39,0.0,top
SW2,POWER,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,132.055159,-154.904263,-90.0,top
U1,STC8G1K08A-36I-DIP8,DIP-8_W7.62mm_LongPads,148.582579,-134.595159,0.0,top
