Comment,Designator,Footprint,LCSC,Quantity
100,R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,1
100,R7,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,1
100,R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,1
100,R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,1
100,R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,1
Battery_Cell,BT1,CR2032-THT,,1
100,R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,1
100,R6,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,1
DEC,SW4,SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,,1
1N4148,D2,D_DO-35_SOD27_P7.62mm_Horizontal,,1
1N4148,D1,D_DO-35_SOD27_P7.62mm_Horizontal,,1
STC8G1K08-38I-DIP16,U1,DIP-16_W7.62mm_Socket_LongPads,,1
INC,SW3,SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,,1
SELECT,SW2,SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,,1
SW_SPDT,SW1,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,,1
LDM-757,LED1,LDL-757-5x7-1.9mm-led,,1
POWER (TODO CHECK POL),J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,,1
PROG,J1,PinHeader_1x04_P2.54mm_Vertical,,1
0.1u,C1,C_Disc_D3.0mm_W1.6mm_P2.50mm,,1
