Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,CR2032-THT,142.201979,-135.89,180.0,top
C1,0.1u,C_Disc_D3.0mm_W1.6mm_P2.50mm,133.35,-116.82,-90.0,top
D1,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,129.537054,-90.165582,-90.0,top
D2,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,154.918111,-90.116691,-90.0,top
J1,PROG,PinHeader_1x04_P2.54mm_Vertical,129.54,-116.84,90.0,top
J2,POWER (TODO CHECK POL),JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,134.112,-80.788,90.0,bottom
LED1,LDM-757,LDL-757-5x7-1.9mm-led,142.193986,-87.574455,0.0,top
R1,100,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,152.361979,-105.357387,90.0,top
R2,100,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,149.821979,-105.357387,90.0,top
R3,100,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,147.281979,-105.357387,90.0,top
R4,100,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,144.741979,-105.357387,90.0,top
R5,100,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,142.201979,-105.357387,90.0,top
R6,100,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,139.661979,-105.357387,90.0,top
R7,100,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,137.121979,-105.357387,90.0,top
SW1,SW_SPDT,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,129.537764,-102.848111,90.0,top
SW2,SELECT,SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,156.171979,-104.647387,90.0,top
SW3,INC,SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,154.918111,-79.391925,90.0,top
SW4,DEC,SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,129.537054,-79.433801,90.0,top
U1,STC8G1K08-38I-DIP16,DIP-16_W7.62mm_Socket_LongPads,146.011979,-116.787387,90.0,top
